objectid,filename,title,format,description,creator,date,subject,location,latitude,longitude,identifier,rights,rightsstatement,type,language
pv1,bulgogi recipe.jpg,Recipe for Bulgogi Pizza,image/jpeg,"Image of the recipe for Bulgogi Pizza, image consists of words that make up the ingredients list and directions.","Pressey, Sue",2015,Recipe,Korea,,,bulgogi recipe.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv2,bulgogi.jpg,Bulgogi Pizza,image/jpeg,"A round pizza made of dough layered with sauce, cheese, onions, green peppers and Korean BBQ beef.","Pressey, Sue",2015,Pizza,Korea,126.9780,37.5665,bulgogi.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv3,chicago deep dish recipe.jpg,Recipe for Chicago Deep Dish Pizza,image/jpeg,"Image of the recipe for Chicago Deep Dish Pizza, image consists of words that make up the ingredients list and directions.","de Corato, Nico",2018,Recipe,Chicago,,,chicago deep dish recipe.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv4,chicago deep dish.jpg,Chicago Deep Dish Pizza,image/jpeg,A round pizza in a cast iron skillet with a thick dough crust with a layer of cheese that has sauce covering the entire top. The pizza is topped with fresh basil leaves and extra cheese.,"de Corato, Nico",2018,Pizza,Chicago,87.6298,41.8781,chicago deep dish.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv5,flammkuchen recipe.jpg,Recipe for Flammkuchen Pizza,image/jpeg,"Image of the recipe for Flammkuchen Pizza, image consists of words that make up the ingredients list and directions.","Makes, Hilary",2011,Recipe,Germany,,,flammkuchen recipe.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv6,flammkuchen.jpg,Flammkuchen Pizza,image/jpeg,"A round pizza with a light colored crust, slightly browned bubbles on the crust, topped with ricotta cheese, white onions, and red pancetta. The pizza is placed on a white glass plate atop a striped cloth. ","Makes, Hilary",2011,Pizza,Germany,13.4050,52.5200,flammkuchen recipe.jpg,ladenia kimlou.jpg,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv7,ladenia kimolou recipe.jpg,Recipe for Ladenia Kimolou Pizza,image/jpeg,"Image of the recipe for Ladenia Kimolou Pizza, image consists of words that make up the ingredients list and directions.","Khan, Dimitra ",2021,Recipe,Greece,,,ladenia kimolou recipe.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv8,ladenia kimolou.jpg,Ladenia Kimolou Pizza,image/jpeg,"A round pizza made inside of a cast iron skillet covered with tomatoes, olive oil, red onions on a blue background with a cream doily on top. ","Khan, Dimitra ",2021,Pizza,Greece,23.7275,37.9838,ladenia kimolou.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv9,margherita pizza dough.jpg,Recipe for Margherita Pizza Dough,image/jpeg,Pizza dough shaped into a ball is sitting in a metal mixing bowl on top of a brown cutting board. A green plant is in the upper left corner and a dishcloth is in the lower left corner. ,"Overhiser, Sonja",2020,Recipe,Italy,,,margherita pizza dough.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv10,margherita recipe 1.jpg,Recipe for Margherita Pizza,image/jpeg,"Image of the recipe for Margherita Pizza, image consists of words that make up the ingredients list and directions.","Overhiser, Alex",2020,Recipe,Italy,,,margherita recipe 1.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv11,margherita recipe 2.jpg,Recipe for Margherita Pizza,image/jpeg,"Image of the recipe for Margherita Pizza, image consists of words that make up the ingredients list and directions.","Overhiser, Alex",2020,Recipe,Italy,,,margherita recipe 2.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv12,margherita.jpg,Margherita Pizza,image/jpeg,"A round pizza cut into triangles on a grey pizza peel. The pizza is covered with marinara, cheese, and fresh basil leaves.","Overhiser, Alex",2020,Pizza,Italy,12.4964,41.9028,marghertia.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv13,red pepper coca recipe.jpg,Recipe for Red Pepper Coca,image/jpeg,"Image of the recipe for Spanish Coca Pizza, image consists of words that make up the ingredients list and directions.","Aloise, Lauren",2019,Recipe,Spain,,,red pepper coca recipe.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng
pv14,red pepper coca.jpg,Red Pepper Coca Pizza,image/jpeg,A small round pizza on a white glass plate. The pizza is covered with sauce and sauteed vegetables. ,"Aloise, Lauren",2019,Pizza,Spain,3.7038,40.4168,red pepper coca.jpg,Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng